,SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTY,SCHOOL_GRADE,HEALTHCARE_COST,PERCENT_FOOD_INSECURE,CHILD_MORTALITY_RATE,MENTAL_DISTRESS,CHILDREN_UNINSURED,DISCONNECTED_YOUTH,DAILY_POLLUTION,WATER_VIOLATION,HOUSING_PROBLEMS,POPESTIMATE2016,AVG_NETMIG,POP_CHANGE,BIRTHS_PER_CAPITA,MEDIAN_HOUSEHOLD_INCOME,PERCENT_W_HEALTH_INSURANCE,PERCENTAGE_IN_POVERTY,PERCENT_WITH_KIDS,BACHELORS_DEGREE,MEDIAN_MORTAGE_PAYMENTS,MEDIAN_RENT_PAYMENT,2010_FAM_KIDS,2015_FAM_KIDS,CHANGE_IN_FAM_WITH_KIDS,INCOME_AS_PERCENT_OF_STATE,UNEMPLOYMENT,MORTGAGE_INCOME_RATIO,RENT_INCOME_RATIO,HEALTHCARE_INCOME_RATIO,DOCTORS,EXERCISE_ACCESS,FOOD_ENVIRONMENT_INDEX,CIVIC_ASSOCIATIONS,CRIME_RATE,zFAMKIDSCHANGE,zPERCENT_WITH_KIDS,zBIRTHS_PER_CAPITA,zAVG_NETMIG,zPOP_CHANGE,zINCOME_AS_PERCENT_OF_STATE,zPERCENTAGE_IN_POVERTY,zPERCENT_W_HEALTH_INSURANCE,zUNEMPLOYMENT,zBACHELORS_DEGREE,zMORTGAGE_INCOME_RATIO,zRENT_INCOME_RATIO,zHEALTHCARE_INCOME_RATIO,zDOCTORS,zEXERCISE_ACCESS,zFOOD_ENVIRONMENT_INDEX,zCIVIC_ASSOCIATIONS,zCRIME_RATE,zDAILY_POLLUTION,zWATER_VIOLATION,zCHILD_MORTALITY_RATE,zCHILDREN_UNINSURED,zDISCONNECTED_YOUTH,zHOUSING_PROBLEMS,zSCORE_TOTAL
2292,50,1,2,42,19,Pennsylvania,"Butler County, Pennsylvania",3.6,9640,10,38,10,4,8,11.8,0,12,186847,2.766115387,0.014844064,0.009510455,60934,94,6.1,27.4,32.3,1409,752,23.6,21.2,-0.101694915,121.9,5.1,43.24627395,81.02925532,6.321046156,119,79,8.4,245,100,-0.305563751,-0.349010509,-1.166575058,-0.164344029,-0.644855503,0.754092663,1.032269561,1.284134914,-0.147002181,0.236645951,0.867578377,2.013804431,0.085063815,-0.034302772,-0.426651711,1.108767346,-0.271458845,1.117841693,-1.306864937,-0.628395541,0.797549593,0.696684799,1.176954498,1.170587959,0.32718897
1823,50,1,2,34,37,New Jersey,"Sussex County, New Jersey",3.6,9600,8,33,10,4,9,8.6,0,18,142522,-7.56284015,-0.042396796,0.008672345,86565,92,3.8,30.3,33.8,2266,1205,29,24.2,-0.165517241,116.7,4.7,38.20167696,71.83817427,9.016802407,373,93,8.9,134,50,-1.363844613,0.207933049,-1.548275477,-1.459419607,-1.640073053,0.524331592,1.562699734,0.845602203,0.107177756,0.388248886,-0.024628295,1.033079891,1.510638267,0.815115484,0.777457502,1.628279646,-0.536362924,1.346978854,0.696908114,-0.628395541,1.118706806,0.696684799,0.950976123,-0.117242562,0.32699879
707,50,2,3,17,197,Illinois,"Will County, Illinois",3.8,10932,9,36,10,4,11,12.3,1,17,689529,-3.075662947,0.015635265,0.011354127,76101,92,6.1,38.5,33,1877,1039,33.5,29.9,-0.107462687,128,6.1,40.54395312,73.24446583,6.961592821,59,94,8.5,449,168,-0.401203053,1.78273897,-0.326911559,-0.896803804,-0.631099296,1.023620074,1.032269561,0.845602203,-0.782452023,0.307393988,0.389635604,1.183136738,0.423798803,-0.234952753,0.863465303,1.212669806,0.215391895,0.806215153,-1.619954477,1.588552704,0.926012478,0.696684799,0.499019372,0.097395858,0.32224668
1895,50,1,2,36,69,New York,"Ontario County, New York",3.8,7262,10,35,11,3,8,9.3,0,13,109828,2.292856414,0.014877377,0.009860873,57416,93.2,6.5,26.6,31.7,1323,809,21.3,17.4,-0.183098592,95.5,4.3,43.39833711,70.97156984,7.905850213,284,83,8.5,109,132,-1.655372805,-0.502650111,-1.006984196,-0.223682665,-0.644276307,-0.412386623,0.940020835,1.10872183,0.361357693,0.176004777,0.894472848,0.940609786,0.923142619,0.517484678,-0.082620507,1.212669806,-0.596026005,0.971193909,0.258582759,-0.628395541,0.990243921,1.068929925,1.176954498,0.955949539,0.320536531
2553,50,3,6,47,165,Tennessee,"Sumner County, Tennessee",3.6,10713,12,41,13,5,10,10.4,1,13,180063,14.16074785,0.116676693,0.011856961,57382,89.5,7.1,32.6,24.6,1344,885,24.5,22.8,-0.069387755,126.6,3.9,42.69494048,64.83841808,5.356416087,20,74,7.8,154,259,0.230142973,0.649646905,-0.097905881,1.264349335,1.125656322,0.961761324,0.801647746,0.297436313,0.61553763,-0.541582448,0.770067436,0.286178343,-0.425053515,-0.365375242,-0.856690716,0.485352587,-0.48863246,0.389185518,-0.430214227,1.588552704,0.604855266,0.324439673,0.724997748,0.955949539,0.316597833
1991,50,3,5,37,135,North Carolina,"Orange County, North Carolina",4,7183,15,42,11,6,4,9.4,1,19,141796,6.145253434,0.058384463,0.008498124,59290,90.5,7.5,28.1,56.6,1744,935,21.5,21.1,-0.018604651,128.6,4.3,33.99655963,63.41176471,8.254498625,5,85,6.7,157,150,1.072211736,-0.214575857,-1.627620943,0.259342485,0.11215914,1.050130967,0.70939902,0.516702669,0.361357693,2.692613498,-0.768361391,0.133948811,1.107515471,-0.415537737,0.089395094,-0.657574473,-0.48147289,0.888704531,0.195964852,1.588552704,0.540623823,-0.047805453,2.080867999,-0.331880982,0.315917742
3101,50,2,3,55,9,Wisconsin,"Brown County, Wisconsin",3.6,8643,11,50,10,4,10,8.8,0,14,260401,1.714557383,0.047828099,0.012845573,53527,91.8,8.6,30.4,27.9,1334,712,22.5,20.8,-0.075555556,100.7,3.7,40.12518741,75.17837079,6.193383712,2,89,8,220,259,0.127870521,0.227137999,0.352337661,-0.296191541,-0.071378961,-0.182625551,0.455715024,0.801748932,0.742627598,-0.208055991,0.315571103,1.389492013,0.017553142,-0.425570236,0.433426298,0.693157507,-0.331121926,0.389185518,0.571672299,-0.628395541,0.026772282,0.696684799,0.724997748,0.741311119,0.31270945
1294,50,2,3,26,81,Michigan,"Kent County, Michigan",3.6,9023,13,48,11,4,12,10.7,0,15,642173,3.556080192,0.064944089,0.013993114,53063,90.6,10.4,30.7,33.3,1235,767,23,20.9,-0.091304348,106.8,3.4,42.9659919,69.18252934,5.880736192,1,92,7.8,766,378,-0.133270779,0.28475285,0.874962234,-0.06529586,0.226208001,0.086901859,0.040595758,0.538629305,0.933262551,0.337714575,0.818006624,0.74971212,-0.147781657,-0.428914402,0.691449701,0.485352587,0.971919761,-0.156160926,-0.618067951,-0.628395541,0.155235167,0.696684799,0.273040997,0.526672699,0.310504783
1807,50,1,2,34,5,New Jersey,"Burlington County, New Jersey",3.6,9799,11,35,10,3,12,10.5,0,16,449284,-1.145892274,0.000102396,0.009853456,78621,93.2,4.4,29.6,35.7,2056,1207,24.9,22,-0.116465863,103.5,4.4,38.23978599,65.13753107,8.023599001,529,85,8.3,381,159,-0.550490763,0.073498397,-1.01036212,-0.654843341,-0.901161343,-0.058908051,1.424326646,1.10872183,0.297812709,0.580279271,-0.017888186,0.318094877,0.985410735,1.336805437,0.089395094,1.004864887,0.053108315,0.847459842,-0.492832135,-0.628395541,0.990243921,1.068929925,0.273040997,0.312034279,0.307719184
3003,50,4,9,53,5,Washington,"Benton County, Washington",3,8672,12,45,11,4,14,7.8,1,13,193686,8.183918357,0.097290285,0.013981393,60251,87.5,10.6,31.3,29.4,1342,834,23.8,21.6,-0.092436975,97.8,6.5,44.89642325,72.24340528,6.947418428,88,82,7.9,167,214,-0.152051628,0.399982551,0.869624139,0.514956438,0.788594764,-0.310761534,-0.005528605,-0.141096398,-1.03663196,-0.056453056,1.159430079,1.076319636,0.416303076,-0.137971929,-0.168628308,0.589255047,-0.457607657,0.595408964,1.197851377,1.588552704,0.347929495,0.696684799,-0.178915753,0.955949539,0.302723612
