,SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTY,HEALTHCARE_COST,PERCENT_FOOD_INSECURE,CHILD_MORTALITY_RATE,MENTAL_DISTRESS,CHILDREN_UNINSURED,DISCONNECTED_YOUTH,DAILY_POLLUTION,WATER_VIOLATION,HOUSING_PROBLEMS,POPESTIMATE2016,AVG_NETMIG,POP_CHANGE,BIRTHS_PER_CAPITA,MEDIAN_HOUSEHOLD_INCOME,PERCENT_W_HEALTH_INSURANCE,PERCENTAGE_IN_POVERTY,PERCENT_WITH_KIDS,BACHELORS_DEGREE,MEDIAN_MORTAGE_PAYMENTS,MEDIAN_RENT_PAYMENT,2010_FAM_KIDS,2015_FAM_KIDS,CHANGE_IN_FAM_WITH_KIDS,INCOME_AS_PERCENT_OF_STATE,UNEMPLOYMENT,MORTGAGE_INCOME_RATIO,RENT_INCOME_RATIO,HEALTHCARE_INCOME_RATIO,DOCTORS,EXERCISE_ACCESS,FOOD_ENVIRONMENT_INDEX,CIVIC_ASSOCIATIONS,CRIME_RATE,zFAMKIDSCHANGE,zPERCENT_WITH_KIDS,zBIRTHS_PER_CAPITA,zAVG_NETMIG,zPOP_CHANGE,zINCOME_AS_PERCENT_OF_STATE,zPERCENTAGE_IN_POVERTY,zPERCENT_W_HEALTH_INSURANCE,zUNEMPLOYMENT,zBACHELORS_DEGREE,zMORTGAGE_INCOME_RATIO,zRENT_INCOME_RATIO,zHEALTHCARE_INCOME_RATIO,zDOCTORS,zEXERCISE_ACCESS,zFOOD_ENVIRONMENT_INDEX,zCIVIC_ASSOCIATIONS,zCRIME_RATE,zDAILY_POLLUTION,zWATER_VIOLATION,zCHILD_MORTALITY_RATE,zCHILDREN_UNINSURED,zDISCONNECTED_YOUTH,zHOUSING_PROBLEMS,zSCORE_TOTAL
1423.0,50.0,2.0,4.0,27.0,171.0,Minnesota,"Wright County, Minnesota",8288.0,7.0,37.0,8.0,3.0,8.0,10.6,1.0,11.0,132550.0,0.970220709,0.059281399,0.013157299,73557.0,94.5,4.2,39.1,27.3,1570.0,899.0,31.3,29.7,-0.051118211,120.4,3.9,46.85159236,81.82091212,8.87461739,7.0,81.0,9.2,130.0,64.0,0.533082555076,1.89796867171,0.494307026176,-0.389518716502,0.127753707319,0.687815431231,1.47045100855,1.39376809206,0.615537629817,-0.26869716535,1.50522874796,2.09827732877,1.43544774166,-0.408849404301,-0.254636109206,1.93998702602,-0.545909017173,1.28282044905,-0.555450042815,1.58855270414,0.8617810359,1.06892992476,1.17695449813,1.38522637936,0.797534562597
1249.0,50.0,1.0,1.0,25.0,21.0,Massachusetts,"Norfolk County, Massachusetts",9519.0,9.0,28.0,10.0,1.0,7.0,9.5,0.0,16.0,697181.0,3.896914738,0.035767026,0.010439183,88262.0,97.8,4.3,29.8,50.6,2360.0,1332.0,25.2,24.1,-0.043650794,131.9,3.2,37.39915254,66.26276276,9.272591844,321.0,96.0,8.8,682.0,193.0,0.65690481288,0.111908297494,-0.743604484856,-0.0225609975358,-0.281078666681,1.19594087795,1.44738882708,2.11734706598,1.06035251946,2.08620175797,-0.166565826022,0.438161529104,1.64590527609,0.641218833479,1.03548090447,1.52437718626,0.771451809009,0.691646571902,0.13334694369,-0.628395541439,1.4398640192,1.81342017647,1.40293287335,0.312034278609,0.77848662683
2827.0,50.0,4.0,8.0,49.0,11.0,Utah,"Davis County, Utah",8638.0,12.0,40.0,10.0,7.0,11.0,8.7,0.0,11.0,342281.0,4.431776649,0.111381332,0.017123358,71112.0,91.4,6.2,43.9,34.8,1482.0,913.0,38.6,36.0,-0.067357513,114.8,3.1,47.98380567,77.88828039,8.232242022,8.0,95.0,8.0,79.0,106.0,0.263807779233,2.81980628421,2.30056919068,0.0445016010406,1.0335885894,0.440380431088,1.00920737927,0.714042389277,1.12389750369,0.48931750954,1.70547631412,1.67865003775,1.09574569603,-0.405505237939,0.949473103557,0.693157506729,-0.6676217022,1.09034523323,0.634290206603,-0.628395541439,0.669086708134,-0.420050578662,0.499019372472,1.38522637936,0.771584006466
2645.0,50.0,3.0,7.0,48.0,157.0,Texas,"Fort Bend County, Texas",10706.0,15.0,33.0,9.0,9.0,12.0,11.4,0.0,15.0,741237.0,28.152993,0.255412553,0.013315579,89152.0,85.1,6.5,43.2,43.7,1843.0,1211.0,36.7,34.3,-0.065395095,170.9,5.0,48.3733044,73.61849711,8.327378667,4.0,94.0,7.0,325.0,262.0,0.296347950422,2.68537163239,0.566392483149,3.01873920737,3.53778574624,2.91914891466,0.940020834876,-0.667335651857,-0.0834571967597,1.38882825708,1.77436454571,1.22304734875,1.14605602008,-0.418881903388,0.863465302645,-0.34586709268,-0.0805369861847,0.375437288778,-1.05639330573,-0.628395541439,1.11870680626,-1.16454083037,0.273040997253,0.52667269876,0.758667396917
1822.0,50.0,1.0,2.0,34.0,35.0,New Jersey,"Somerset County, New Jersey",9332.0,7.0,26.0,9.0,4.0,8.0,9.8,1.0,19.0,333751.0,1.565286197,0.029593593,0.009689859,100667.0,92.0,3.6,35.0,52.5,2659.0,1411.0,31.6,29.0,-0.082278481,136.9,4.1,37.85896954,71.34443657,10.7875338,69.0,94.0,9.1,318.0,66.0,0.0163931850862,1.11056571104,-1.08486909795,-0.314907611977,-0.388412988081,1.41686498522,1.60882409733,0.845602202718,0.488447661348,2.27823214228,-0.0852408368909,0.980396134617,2.44703948374,-0.201511089835,0.863465302645,1.83608456608,-0.0972426488355,1.27365496258,-0.0545067799024,1.58855270414,1.56832690438,0.696684798904,1.17695449813,-0.331880981842,0.734896554371
233.0,50.0,4.0,9.0,6.0,85.0,California,"Santa Clara County, California",7797.0,11.0,28.0,9.0,4.0,11.0,8.8,0.0,24.0,1919402.0,4.693052913,0.074310003,0.012417409,96310.0,90.9,6.4,35.1,47.9,2943.0,1705.0,27.9,28.2,0.010752688,158.5,3.8,32.72511043,56.48680352,12.35245606,269.0,98.0,8.5,1052.0,254.0,1.55900549557,1.1297706613,0.157338939495,0.0772612065571,0.389048356818,2.37125712863,0.96308301634,0.604409211409,0.679082614051,1.81331647501,-0.993234748212,-0.604971816367,3.27460436161,0.467322182637,1.20749650629,1.21266980643,1.65446540627,0.412099234648,0.571672298738,-0.628395541439,1.4398640192,0.696684798904,0.499019372472,-1.40507308259,0.731158162657
2015.0,50.0,3.0,5.0,37.0,183.0,North Carolina,"Wake County, North Carolina",8671.0,14.0,42.0,10.0,5.0,9.0,9.8,0.0,15.0,1046791.0,15.65414726,0.154189486,0.012308092,67309.0,88.4,7.9,35.0,49.0,1533.0,948.0,26.1,25.6,-0.019157088,147.5,4.2,43.90671885,71.00105485,7.762685046,2.0,91.0,7.6,979.0,245.0,1.06305140666,1.11056571104,0.107552700552,1.4515962546,1.77787206344,1.88522409264,0.617150294381,0.0562433220705,0.424902677114,1.92449196066,0.984387182308,0.943755952967,0.847433769348,-0.425570236113,0.60544189991,0.277547666965,1.48024921005,0.453343923751,-0.0545067799024,-0.628395541439,0.540623822956,0.324439673048,0.950976122911,0.52667269876,0.718543743695
2161.0,50.0,2.0,3.0,39.0,165.0,Ohio,"Warren County, Ohio",10233.0,11.0,30.0,10.0,4.0,13.0,12.1,1.0,11.0,227063.0,6.30984023,0.063372531,0.010384783,74379.0,94.3,3.9,35.1,39.6,1580.0,923.0,30.6,28.4,-0.071895425,159.3,4.1,47.07531646,80.58396533,7.268429302,44.0,86.0,8.2,193.0,72.0,0.188561611843,1.1297706613,-0.768379875678,0.279978873666,0.198884126485,2.40660498579,1.53963755294,1.34991482091,0.488447661348,0.974446901469,1.54479744594,1.96629023558,0.586060597738,-0.285115248894,0.175402895352,0.900962426611,-0.395558053315,1.24615850318,-1.49471866078,1.58855270414,1.31140113402,0.696684798904,0.0470626220336,1.38522637936,0.710878129164
1818.0,50.0,1.0,2.0,34.0,27.0,New Jersey,"Morris County, New Jersey",9586.0,7.0,24.0,9.0,4.0,7.0,9.3,0.0,17.0,498423.0,0.310132185,0.011260507,0.009172931,100214.0,92.5,3.0,32.7,51.0,2792.0,1357.0,29.9,27.4,-0.08361204,140.7,3.9,35.89326648,73.84966839,10.45422586,274.0,96.0,9.2,507.0,65.0,-0.00571945256275,0.668851855046,-1.3202936058,-0.472282605273,-0.707160975626,1.58476730675,1.74719718611,0.955235380586,0.615537629817,2.1266292073,-0.432902580562,1.2477142346,2.27077900633,0.484043014449,1.03548090447,1.93998702602,0.353810242737,1.27823770581,0.258582759418,-0.628395541439,1.69678978955,0.696684798904,1.40293287335,0.0973958584587,0.703912584102
2812.0,50.0,3.0,7.0,48.0,491.0,Texas,"Williamson County, Texas",9978.0,15.0,34.0,9.0,9.0,11.0,9.8,0.0,13.0,528718.0,26.65771347,0.239914168,0.012518961,73750.0,87.5,5.4,37.6,39.3,1622.0,1072.0,31.5,28.8,-0.085714286,141.1,3.3,45.46855734,68.79664179,7.391431151,18.0,94.0,7.2,305.0,147.0,-0.040578205754,1.60989441781,0.203588764656,2.83125655284,3.26832325482,1.60244123533,1.19370483098,-0.141096398091,0.996807535222,0.944126314474,1.26061989711,0.7085363992,0.651106646827,-0.372063574315,0.863465302645,-0.138062172798,-0.128267450901,0.902452760651,-0.0545067799024,-0.628395541439,1.05447536367,-1.16454083037,0.499019372472,0.955949539061,0.703260718092
