,SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTY,SCHOOL_GRADE,HEALTHCARE_COST,PERCENT_FOOD_INSECURE,CHILD_MORTALITY_RATE,MENTAL_DISTRESS,CHILDREN_UNINSURED,DISCONNECTED_YOUTH,DAILY_POLLUTION,WATER_VIOLATION,HOUSING_PROBLEMS,POPESTIMATE2016,AVG_NETMIG,POP_CHANGE,BIRTHS_PER_CAPITA,MEDIAN_HOUSEHOLD_INCOME,PERCENT_W_HEALTH_INSURANCE,PERCENTAGE_IN_POVERTY,PERCENT_WITH_KIDS,BACHELORS_DEGREE,MEDIAN_MORTAGE_PAYMENTS,MEDIAN_RENT_PAYMENT,2010_FAM_KIDS,2015_FAM_KIDS,CHANGE_IN_FAM_WITH_KIDS,INCOME_AS_PERCENT_OF_STATE,UNEMPLOYMENT,MORTGAGE_INCOME_RATIO,RENT_INCOME_RATIO,HEALTHCARE_INCOME_RATIO,DOCTORS,EXERCISE_ACCESS,FOOD_ENVIRONMENT_INDEX,CIVIC_ASSOCIATIONS,CRIME_RATE
285,50,4,8,8,69,Colorado,"Larimer County, Colorado",3.8,7982,14,35,10,5,8,7.8,0,18,339993,15.48447768,0.131337701,0.010561982,59805,90.3,6.4,26.6,44.3,1537,1035,21,19.4,-0.076190476,101.5,2.8,38.9102147,57.7826087,7.492586342,9,92,7.5,289,208
315,50,1,1,9,1,Connecticut,"Fairfield County, Connecticut",3.8,9185,11,32,10,5,10,9.5,0,23,944177,0.842095486,0.026558304,0.010644191,84233,89.2,6.4,32.8,45.8,2698,1348,26.8,24.4,-0.089552239,121,4.8,31.22053373,62.48738872,9.171002677,842,97,8.4,863,264
425,50,3,5,13,57,Georgia,"Cherokee County, Georgia",4,9847,9,30,10,7,13,10.5,0,15,241689,12.48656716,0.123111024,0.011432047,68926,85.8,8.5,36.7,34.7,1508,1010,31.4,27.8,-0.114649682,146.2,4.2,45.70689655,68.24356436,6.99990149,84,80,8.4,163,84
2671,50,3,7,48,209,Texas,"Hays County, Texas",3.6,10032,15,33,11,11,9,9.5,0,23,204470,34.24334705,0.292142997,0.012485939,58583,84.5,9.6,32.5,36.1,1576,973,24.4,24.3,-0.004098361,109.8,3.3,37.17195431,60.20863309,5.839677269,4,94,7.2,124,249
564,50,4,8,16,1,Idaho,"Ada County, Idaho",3.6,7928,14,37,10,6,12,9.7,0,16,444028,13.87597034,0.128455359,0.011546569,56356,88.9,8.1,31.4,37.1,1321,856,25.2,23.1,-0.083333333,120.9,3.3,42.66161998,65.8364486,7.108799088,2,92,7.6,344,222
1816,50,1,2,34,23,New Jersey,"Middlesex County, New Jersey",3.8,10127,10,30,9,5,11,9.6,1,21,837073,0.734116428,0.031857835,0.011237968,79593,88.5,6.4,34.3,41,2393,1299,27.6,26.3,-0.047101449,108.2,4.4,33.26076055,61.27251732,7.859663051,711,96,8.6,565,159
2291,50,1,2,42,17,Pennsylvania,"Bucks County, Pennsylvania",4,10107,9,32,10,4,9,10.7,0,15,626399,-0.134679569,0.001376415,0.009576963,77568,94.1,4.2,28.6,37.4,2070,1137,25.4,22.6,-0.11023622,144.6,4.6,37.47246377,68.22163588,7.674559421,116,95,8.6,480,100
1316,50,2,3,26,125,Michigan,"Oakland County, Michigan",3.8,11287,14,43,10,4,11,10.6,0,16,1243970,3.210923552,0.034099505,0.010841097,67465,91.9,7.4,28.5,44.4,1612,942,22.9,21.1,-0.07860262,137.4,4.2,41.85173697,71.61889597,5.977389317,14,94,7.7,999,195
197,50,4,9,6,13,California,"Contra Costa County, California",3.6,8289,13,30,10,4,14,7.7,1,23,1135127,8.115555295,0.078121334,0.011263057,80185,90.2,7.8,33.3,39.6,2461,1426,25.6,25,-0.0234375,128.8,4.4,32.58228362,56.23071529,9.673780598,22,96,8.1,608,366
1470,50,3,6,28,89,Mississippi,"Madison County, Mississippi",4,9373,17,53,11,5,13,10.2,0,16,105114,12.65396889,0.099668365,0.012805145,64376,91.3,9.8,32.6,46,1474,898,23.2,21.4,-0.077586207,166.1,4.3,43.6743555,71.68819599,6.868495036,11,75,6.7,141,134
2565,50,3,6,47,189,Tennessee,"Wilson County, Tennessee",3.8,10927,11,33,12,5,11,10.5,1,13,132781,20.38715643,0.157930078,0.011364578,61070,90.1,7.8,31.7,28.3,1423,871,26.6,23.5,-0.116541353,138.4,3.9,42.91637386,70.11481056,5.588826374,25,77,8.1,128,313
2824,50,4,8,49,5,Utah,"Cache County, Utah",3.6,8317,15,42,11,8,6,7.6,0,16,122753,-2.899073834,0.082812155,0.019510725,50497,90,10.8,37.7,36.1,1260,686,36.1,32.3,-0.105263158,82.5,3.1,40.07698413,73.61078717,6.071803036,10,84,6.9,36,56
252,50,4,8,8,5,Colorado,"Arapahoe County, Colorado",3.8,9226,14,41,10,6,13,8.1,1,18,637068,10.04564026,0.108358778,0.012537123,63265,86.9,8.1,32.1,40.1,1613,1077,22.4,22.2,-0.008928571,104.9,3.1,39.22194668,58.74187558,6.856968822,11,99,7.7,477,298
2545,50,3,6,47,149,Tennessee,"Rutherford County, Tennessee",3.8,9513,14,45,13,5,10,10.4,1,15,308251,17.85746288,0.168608971,0.013355999,56219,87.9,8.2,34.5,30.1,1268,890,25.1,25,-0.003984064,127,3.8,44.33675079,63.16741573,5.9099448,10,75,7.5,208,437
2887,50,3,5,51,41,Virginia,"Chesterfield County, Virginia",3.8,9063,10,41,10,6,11,9.3,1,12,339009,6.012951959,0.068276497,0.011150146,72609,90.7,5,32.5,36.9,1570,1123,27.4,23.5,-0.142335766,113.3,3.8,46.2477707,64.65627783,8.011824252,6,80,8.3,287,128
664,50,2,3,17,111,Illinois,"McHenry County, Illinois",3.8,10152,8,27,9,3,10,11,0,16,307004,-5.478385047,-0.006842025,0.0106839,77222,92.2,5.5,35.4,32.5,1873,1074,31.9,28.4,-0.109717868,135.1,5.3,41.22904431,71.90130354,7.606370195,104,95,8.7,201,93
1904,50,1,2,36,87,New York,"Rockland County, New York",4,11149,10,32,11,4,11,9.4,0,26,326780,-0.938799015,0.045585586,0.016206622,84855,91.3,10.3,37.1,40.3,2973,1335,31.3,29.4,-0.060702875,138.6,4.2,28.54187689,63.56179775,7.610723447,59,94,8.5,322,135
2303,50,1,2,42,41,Pennsylvania,"Cumberland County, Pennsylvania",3.8,9392,11,41,10,6,9,10.9,0,12,248506,7.030323301,0.05308077,0.010707991,61820,93,5.6,25.9,32.7,1456,886,20.5,19,-0.073170732,114.8,4.1,42.45879121,69.77426637,6.582491977,270,86,8.4,330,86
453,50,3,5,13,113,Georgia,"Fayette County, Georgia",4,8784,11,36,10,7,11,10.5,0,14,111627,6.398865427,0.043311245,0.008196942,79066,91.2,6.7,32.8,43.8,1740,1096,32.3,26.1,-0.191950464,157.3,4.7,45.44022989,72.14051095,9.001527844,120,85,8,153,80
1486,50,3,6,28,121,Mississippi,"Rankin County, Mississippi",3.4,10189,14,37,11,5,16,10.1,0,11,150228,3.472126898,0.054305565,0.012154858,58801,88.8,7,33.3,29,1219,891,23.3,24.3,0.042918455,143.8,4,48.23707957,65.99438833,5.771135196,5,74,7.2,168,83
657,50,2,3,17,97,Illinois,"Lake County, Illinois",3.8,9832,8,35,10,4,10,11.7,0,18,703047,-5.437931711,-0.001847098,0.01105616,78026,90,7.4,36.9,43.2,2117,1069,31.3,28.4,-0.092651757,137.9,5.2,36.85687293,72.98971001,7.935673306,46,97,8.7,516,154
221,50,4,9,6,61,California,"Placer County, California",3.8,7572,13,30,10,4,10,8.7,0,20,380531,11.3765949,0.086505022,0.009736395,73948,91.1,6.3,30.6,36.4,2154,1303,25.7,23.2,-0.097276265,118.2,4.4,34.33054782,56.75211051,9.766353968,18,92,8.1,286,176
1912,50,1,2,36,103,New York,"Suffolk County, New York",4,10444,6,32,10,3,11,8.6,0,23,1492583,-2.5663688,-0.001447737,0.010348503,88663,91.6,4.8,32.1,34,2734,1544,28.7,25.1,-0.12543554,144.1,4.3,32.42977323,57.4242228,8.489388145,30,94,9.2,977,130
1221,50,3,5,24,17,Maryland,"Charles County, Maryland",3.4,9033,12,45,10,3,14,9.2,0,14,157705,5.689764656,0.071744094,0.011730763,90607,94.7,6,34.2,27.4,2121,1487,25.1,22.9,-0.087649402,116,4.2,42.71900047,60.9327505,10.03065423,13,80,8.1,96,374
1920,50,1,2,36,119,New York,"Westchester County, New York",4,10316,9,31,10,3,12,10.1,0,25,974542,0.816557657,0.02519914,0.010791736,83958,90.4,6.9,32.4,46.7,3289,1364,25,24.1,-0.036,140.9,4.2,25.52690787,61.55278592,8.138730072,18,99,9,816,237
1817,50,1,2,34,25,New Jersey,"Monmouth County, New Jersey",3.8,10264,9,28,10,5,9,9.5,0,21,625846,-2.071360369,-0.007837791,0.00928663,85242,90.9,5.3,30.4,42.5,2578,1238,26.9,23.9,-0.111524164,119.9,4.4,33.0651668,68.8546042,8.304601425,518,96,8.6,527,162
665,50,2,3,17,113,Illinois,"McLean County, Illinois",3.8,8331,12,59,10,3,5,10.5,0,13,172418,-2.870563933,0.015077389,0.011350323,62211,94,6.8,28.4,44,1399,780,22,21,-0.045454545,110.4,5.1,44.46819157,79.75769231,7.467330205,97,83,7.5,207,317
271,50,4,8,8,41,Colorado,"El Paso County, Colorado",3.4,8368,15,50,10,5,13,6.7,0,16,688284,7.347066041,0.097829173,0.013975336,58206,89.1,8.4,32.5,35.9,1489,976,23.9,23.1,-0.033472803,93.9,3.8,39.09066488,59.63729508,6.955617696,24,94,7,596,380
1243,50,1,1,25,9,Massachusetts,"Essex County, Massachusetts",3.4,9285,9,31,12,2,11,9.4,0,19,779018,4.867973742,0.044694176,0.010934279,69068,96.2,8.6,29.7,37.5,2177,1076,21.8,20,-0.082568807,96.6,3.8,31.72622876,64.18959108,7.438360089,55,97,8.6,692,382
2355,50,1,1,44,9,Rhode Island,"Washington County, Rhode Island",3.8,8655,12,27,11,3,5,7.6,0,15,126288,0.384710995,-0.006287032,0.00701571,72807,94.4,5.5,24.9,44.1,1956,1050,21.4,18.2,-0.14953271,125.6,4.8,37.22239264,69.34,8.412520509,13,88,7.7,146,77
191,50,4,9,6,1,California,"Alameda County, California",3.6,8395,15,35,9,4,12,9,1,24,1647704,8.22261791,0.088561249,0.012149027,75619,89.9,8.5,31.2,43,2542,1367,22.6,23,0.017699115,126.3,4.2,29.74783635,55.31748354,9.007838186,0,100,7.7,1047,720
1736,50,2,4,31,109,Nebraska,"Lancaster County, Nebraska",3.8,8509,14,44,9,4,6,9.7,0,15,309637,6.002778619,0.081909188,0.013128276,51830,90.3,9.3,28,36.7,1305,729,21.9,19.1,-0.127853881,98.8,2.9,39.7164751,71.09739369,6.091240507,22,96,7.7,383,343
1936,50,3,5,37,25,North Carolina,"Cabarrus County, North Carolina",3.6,9666,14,44,11,5,16,10.4,0,15,201590,15.3067788,0.128843494,0.012098814,54720,87.1,9.4,36.3,27.2,1327,823,25,26.1,0.044,120.9,4.5,41.23587038,66.48845687,5.661097645,38,80,7.5,207,113
2248,50,4,9,41,5,Oregon,"Clackamas County, Oregon",3.6,7084,13,35,11,5,14,9.6,0,19,408062,10.73614978,0.082590713,0.010344016,65965,90.4,6.5,29.1,33.1,1840,1037,23.4,21.4,-0.085470085,128.6,4.4,35.85054348,63.61137898,9.311514009,30,92,8,360,96
2612,50,3,7,48,91,Texas,"Comal County, Texas",3.8,9597,14,56,10,12,12,9.6,0,14,134788,30.80800427,0.233260746,0.011848236,65833,84.7,6.5,29.5,33.4,1588,982,24.5,22.4,-0.085714286,122.8,3.6,41.45654912,67.03971487,6.85940476,7,85,7.5,128,273
3128,50,2,3,55,63,Wisconsin,"La Crosse County, Wisconsin",3.8,7765,12,32,10,3,4,9.4,0,14,118122,2.113932103,0.028184952,0.010616143,50539,93.5,6.7,25.9,30.9,1361,748,19.7,18.6,-0.055837563,92.5,3.7,37.1337252,67.56550802,6.50830424,4,90,8,159,140
228,50,4,9,6,75,California,"San Francisco County, California",3.6,7381,16,39,9,4,9,8.2,1,27,870887,9.288939837,0.080818749,0.010635134,81294,91.5,7.8,16.5,53.8,3167,1558,12.4,12.5,0.008064516,140.4,3.3,25.66908746,52.17843389,11.0142532,425,100,7.5,751,793
3156,50,2,3,55,117,Wisconsin,"Sheboygan County, Wisconsin",3.6,7761,10,28,10,5,10,9.6,1,11,115427,-1.722845072,-0.000415674,0.010621432,53713,93.1,6.8,27,23.4,1252,658,21.8,19.4,-0.110091743,104.6,3.5,42.90175719,81.63069909,6.921073757,8,86,8.7,179,158
886,50,2,4,19,163,Iowa,"Scott County, Iowa",3.4,8965,14,39,10,2,10,10.8,0,13,172474,2.165909755,0.040585953,0.012923687,55114,92,8.4,28.3,32.1,1237,715,19.3,18.8,-0.025906736,106,4.6,44.5545675,77.08251748,6.147946037,7,88,7.8,185,469
2660,50,3,7,48,187,Texas,"Guadalupe County, Texas",3.4,10051,13,33,10,11,11,9.7,0,12,155265,20.19317133,0.171245587,0.011895791,62420,85,7.6,34.8,26.1,1441,898,28.8,25.6,-0.111111111,115.4,3.6,43.31714087,69.51002227,6.21011108,13,83,7.4,87,188
2736,50,3,7,48,339,Texas,"Montgomery County, Texas",3.8,11786,15,44,10,10,15,11.4,0,16,556203,24.21220246,0.210929659,0.013252356,68838,83.3,9.4,35.8,32.2,1610,1030,27.8,26.7,-0.039568345,130.1,4.9,42.75652174,66.83300971,5.840509744,8,89,7.2,306,171
220,50,4,9,6,59,California,"Orange County, California",3.8,9993,11,29,10,6,10,10.9,1,28,3172532,2.210954158,0.051326414,0.012114299,76509,85.6,9.1,32.9,37.7,2539,1548,26.5,24.9,-0.060377358,121,4,30.13351713,49.4244186,7.65653521,446,99,8.6,1853,204
2292,50,1,2,42,19,Pennsylvania,"Butler County, Pennsylvania",3.6,9640,10,38,10,4,8,11.8,0,12,186847,2.766115387,0.014844064,0.009510455,60934,94,6.1,27.4,32.3,1409,752,23.6,21.2,-0.101694915,121.9,5.1,43.24627395,81.02925532,6.321046156,119,79,8.4,245,100
1823,50,1,2,34,37,New Jersey,"Sussex County, New Jersey",3.6,9600,8,33,10,4,9,8.6,0,18,142522,-7.56284015,-0.042396796,0.008672345,86565,92,3.8,30.3,33.8,2266,1205,29,24.2,-0.165517241,116.7,4.7,38.20167696,71.83817427,9.016802407,373,93,8.9,134,50
707,50,2,3,17,197,Illinois,"Will County, Illinois",3.8,10932,9,36,10,4,11,12.3,1,17,689529,-3.075662947,0.015635265,0.011354127,76101,92,6.1,38.5,33,1877,1039,33.5,29.9,-0.107462687,128,6.1,40.54395312,73.24446583,6.961592821,59,94,8.5,449,168
1895,50,1,2,36,69,New York,"Ontario County, New York",3.8,7262,10,35,11,3,8,9.3,0,13,109828,2.292856414,0.014877377,0.009860873,57416,93.2,6.5,26.6,31.7,1323,809,21.3,17.4,-0.183098592,95.5,4.3,43.39833711,70.97156984,7.905850213,284,83,8.5,109,132
2553,50,3,6,47,165,Tennessee,"Sumner County, Tennessee",3.6,10713,12,41,13,5,10,10.4,1,13,180063,14.16074785,0.116676693,0.011856961,57382,89.5,7.1,32.6,24.6,1344,885,24.5,22.8,-0.069387755,126.6,3.9,42.69494048,64.83841808,5.356416087,20,74,7.8,154,259
1991,50,3,5,37,135,North Carolina,"Orange County, North Carolina",4,7183,15,42,11,6,4,9.4,1,19,141796,6.145253434,0.058384463,0.008498124,59290,90.5,7.5,28.1,56.6,1744,935,21.5,21.1,-0.018604651,128.6,4.3,33.99655963,63.41176471,8.254498625,5,85,6.7,157,150
3101,50,2,3,55,9,Wisconsin,"Brown County, Wisconsin",3.6,8643,11,50,10,4,10,8.8,0,14,260401,1.714557383,0.047828099,0.012845573,53527,91.8,8.6,30.4,27.9,1334,712,22.5,20.8,-0.075555556,100.7,3.7,40.12518741,75.17837079,6.193383712,2,89,8,220,259
1294,50,2,3,26,81,Michigan,"Kent County, Michigan",3.6,9023,13,48,11,4,12,10.7,0,15,642173,3.556080192,0.064944089,0.013993114,53063,90.6,10.4,30.7,33.3,1235,767,23,20.9,-0.091304348,106.8,3.4,42.9659919,69.18252934,5.880736192,1,92,7.8,766,378
1807,50,1,2,34,5,New Jersey,"Burlington County, New Jersey",3.6,9799,11,35,10,3,12,10.5,0,16,449284,-1.145892274,0.000102396,0.009853456,78621,93.2,4.4,29.6,35.7,2056,1207,24.9,22,-0.116465863,103.5,4.4,38.23978599,65.13753107,8.023599001,529,85,8.3,381,159
3003,50,4,9,53,5,Washington,"Benton County, Washington",3,8672,12,45,11,4,14,7.8,1,13,193686,8.183918357,0.097290285,0.013981393,60251,87.5,10.6,31.3,29.4,1342,834,23.8,21.6,-0.092436975,97.8,6.5,44.89642325,72.24340528,6.947418428,88,82,7.9,167,214
1410,50,2,4,27,145,Minnesota,"Stearns County, Minnesota",3.2,7851,11,45,9,4,5,10.1,1,14,155652,-0.862707479,0.032524262,0.012521522,56336,93.9,7,29.4,25.9,1337,742,22.8,20.9,-0.083333333,87.1,3.8,42.13612565,75.9245283,7.175820075,34,72,8.2,244,188
1800,50,1,1,33,13,New Hampshire,"Merrimack County, New Hampshire",3.2,8469,10,35,11,4,11,8.8,0,15,148582,1.842109889,0.014675654,0.009072431,65983,91.4,6.1,27,34.4,1840,939,21.4,19.3,-0.098130841,97.4,2.5,35.86032609,70.26943557,7.791019363,249,84,8.3,216,157
1709,50,2,4,31,55,Nebraska,"Douglas County, Nebraska",3.6,8752,14,55,9,5,9,10.9,0,16,554995,3.011513699,0.070024582,0.015603744,54659,88.7,10.5,30.6,37.1,1394,812,21.1,20.4,-0.033175355,106.1,3.5,39.21018651,67.31403941,6.24565076,1,98,7.6,567,485
1812,50,1,2,34,15,New Jersey,"Gloucester County, New Jersey",3.4,10285,11,36,10,4,11,10.3,0,16,292330,-0.119279178,0.011560994,0.010594191,76727,92.5,5.5,32,29.3,1993,1072,26,24,-0.076923077,106.1,5.1,38.49824385,71.57369403,7.460363144,356,89,7.8,233,131
653,50,2,3,17,89,Illinois,"Kane County, Illinois",3.6,10213,7,38,10,4,12,11.7,0,19,531715,-2.473726241,0.03039552,0.012743669,70696,88,8.4,37.6,31.6,1859,1011,30.7,28.8,-0.061889251,118.3,5.5,38.02904788,69.92680514,6.922354595,47,95,9.1,379,160
1815,50,1,2,34,21,New Jersey,"Mercer County, New Jersey",3.8,10367,12,50,11,5,10,8.9,1,19,371023,-2.078637142,0.008222893,0.011301186,72804,89.6,8,30.6,39.6,2261,1132,22.3,22.3,0,99.8,4.3,32.19991154,64.31448763,7.022729048,795,97,8.1,414,402
698,50,2,3,17,179,Illinois,"Tazewell County, Illinois",3.4,9046,11,36,10,2,12,11,0,10,134385,-2.87545403,-0.008067731,0.011429847,58194,93,5.9,27.9,25,1167,682,21.6,20.2,-0.064814815,96.9,6.3,49.86632391,85.32844575,6.433190727,13,85,7.8,186,230
2839,50,4,8,49,35,Utah,"Salt Lake County, Utah",3,8874,13,48,10,10,12,9.6,0,18,1121354,2.840680753,0.085350745,0.015825511,62117,85.5,9.2,35.7,32.1,1504,936,28.6,27.2,-0.048951049,104.1,3.2,41.30119681,66.36431624,7.000116073,9,95,7.8,484,350
3133,50,2,3,55,73,Wisconsin,"Marathon County, Wisconsin",3.6,7785,11,37,10,5,9,8.9,0,12,135603,-1.740719397,0.011464503,0.011666409,54083,92.5,7.2,28.4,23.7,1255,697,23.2,20.5,-0.11637931,101.3,3.7,43.0940239,77.59397418,6.947452528,30,74,8.2,183,105
317,50,1,1,9,5,Connecticut,"Litchfield County, Connecticut",3.4,8900,11,31,10,4,10,7.3,0,16,182571,-4.347099835,-0.037940465,0.007794228,72061,93.4,4,25.7,33.6,1889,955,22.8,19.9,-0.127192982,99.3,4.6,38.14769719,75.4565445,8.096623308,122,90,8.6,192,110
1252,50,1,1,25,27,Massachusetts,"Worcester County, Massachusetts",3.4,9390,10,42,12,2,11,9,0,17,819589,1.863767145,0.024127805,0.010528448,65313,96.8,8.4,29.9,34.4,1864,934,23.5,20.6,-0.123404255,92.9,3.9,35.03916309,69.92826552,6.955746614,5,91,8.3,734,435
430,50,3,5,13,67,Georgia,"Cobb County, Georgia",4,9306,14,46,10,8,12,10.2,1,17,748150,5.950044972,0.08475171,0.012982691,65873,83.4,9.4,33.1,44.1,1560,1006,24.7,22.9,-0.072874494,136.8,4.6,42.22628205,65.48011928,7.078741638,26,89,7.2,535,267
2757,50,3,7,48,381,Texas,"Randall County, Texas",3.8,10022,15,52,10,11,8,7.6,1,13,132501,9.405663398,0.093305719,0.013003675,60972,87,7,29.7,30.4,1348,832,22.9,20.9,-0.087336245,111.5,3,45.23145401,73.28365385,6.083700269,1,88,7.2,108,516
227,50,4,9,6,73,California,"San Diego County, California",3.8,8630,13,37,10,7,12,11.6,0,26,3317749,3.715944227,0.068743304,0.013458523,64309,85.9,10.6,30.6,35.7,2325,1344,23.1,22,-0.047619048,104,4.7,27.65978495,47.84895833,7.452184645,1344,96,7.9,1872,349
1199,50,1,1,23,5,Maine,"Cumberland County, Maine",3.8,8327,14,38,10,6,10,8.6,0,17,292041,5.069131313,0.037504796,0.009861629,60051,91.7,7.6,26,43,1663,971,19.7,17.8,-0.096446701,122.9,2.9,36.11004209,61.84449022,7.211219775,36,84,7.5,368,131
2909,50,3,5,51,87,Virginia,"Henrico County, Virginia",3.6,8996,13,53,10,6,13,8.8,1,15,326501,5.258082963,0.061332822,0.012355245,61934,89.3,8.1,29.4,40.7,1533,1035,21.3,19.3,-0.093896714,98.9,3.8,40.40052185,59.83961353,6.884309279,31,94,7.8,368,174
232,50,4,9,6,83,California,"Santa Barbara County, California",3,7593,12,33,11,7,9,8,0,30,446170,2.025277588,0.051305856,0.013091423,63985,84.2,10,30.2,32.2,2231,1369,22.3,21,-0.058295964,97.8,5,28.67996414,46.73849525,8.426829413,1950,96,8.2,351,333
2793,50,3,7,48,453,Texas,"Travis County, Texas",3.8,10041,17,42,10,11,10,10,0,22,1199323,15.23966951,0.163748376,0.013829469,61451,82.7,11.2,28.2,46,1749,1054,20.2,19.8,-0.01980198,117.2,3.1,35.13493425,58.30265655,6.120251778,2,97,6.6,1087,346
316,50,1,1,9,3,Connecticut,"Hartford County, Connecticut",3.6,8912,13,40,11,3,12,7.7,0,18,892389,-2.046707431,-0.003349386,0.010476373,66395,93.1,8.9,28.9,36.3,1907,992,20.2,18.6,-0.079207921,97.1,5.3,34.81646565,66.93044355,7.449758033,119,96,7.7,922,293
199,50,4,9,6,17,California,"El Dorado County, California",3.6,7923,13,25,10,5,11,8.1,1,21,185625,3.253508759,0.024686315,0.00882963,69584,91.1,6.8,26.7,32.1,2165,1054,23.2,20.9,-0.099137931,117.2,5.1,32.1404157,66.01897533,8.782975286,643,94,7.7,113,228
1442,50,3,6,28,33,Mississippi,"DeSoto County, Mississippi",3.4,10483,15,43,11,6,13,10.1,1,13,175611,8.522270849,0.085472516,0.012020887,58278,87,7,35.5,22.4,1240,958,26.8,24.5,-0.085820896,149.2,4.2,46.9983871,60.83298539,5.559392529,41,75,7.1,148,187
2586,50,3,7,48,39,Texas,"Brazoria County, Texas",3.6,11083,15,44,9,10,16,11.2,0,14,354195,11.75212927,0.126209054,0.013924533,69749,83.6,8.3,36.8,28.6,1622,904,28.5,27,-0.052631579,128,5.2,43.00184957,77.15597345,6.293309417,177,77,7.1,235,175
2996,50,3,5,51,810,Virginia,"Virginia Beach city, Virginia",3.8,9605,11,50,10,6,10,8.3,,17,452602,-2.000356569,0.031019283,0.013406923,66634,90,6.6,32.2,33.8,1769,1236,23.2,21.6,-0.068965517,101.2,3.9,37.66760882,53.91100324,6.937760684,22,90,8.3,326,160
775,50,2,3,18,127,Indiana,"Porter County, Indiana",3.6,10870,12,42,11,6,13,11.4,1,13,167791,1.191484734,0.019646568,0.010507119,63926,90.1,9,31.7,26.4,1327,862,22.8,22.8,0,130.8,5.1,48.17332329,74.16009281,5.881162359,8,83,7.6,157,102
2101,50,2,3,39,45,Ohio,"Fairfield County, Ohio",3.4,10460,13,38,11,4,12,11.7,0,14,152597,3.810835788,0.04227228,0.010439262,60567,92.7,7.3,33.2,26,1411,799,26.1,23.6,-0.095785441,120.3,4.2,42.92487597,75.80350438,5.79061543,11,82,7.5,154,167
1983,50,3,5,37,119,North Carolina,"Mecklenburg County, North Carolina",3.4,8675,17,51,11,5,13,10.7,1,18,1054835,13.29922172,0.142429651,0.014027786,56854,84.9,11.6,30.8,42.3,1422,938,21,19.9,-0.052380952,119.1,4.7,39.98171589,60.6119403,6.553533472,11,89,6.7,919,546
177,50,3,7,5,125,Arkansas,"Saline County, Arkansas",3.8,9509,14,63,11,4,16,11.1,0,10,118703,13.11557952,0.102501231,0.011372922,55817,89.3,5.9,29.1,23,1136,808,22.3,20.1,-0.098654709,135.4,3.2,49.1346831,69.08044554,5.869641115,3,74,7.4,93,324
2951,50,3,5,51,177,Virginia,"Spotsylvania County, Virginia",3.4,10005,9,51,10,7,16,8.9,1,13,132010,5.327661237,0.071735918,0.012143019,78125,88.8,6,35.4,29.3,1713,1346,30.5,26.2,-0.140983607,115,4.1,45.60712201,58.0423477,7.808244507,42,75,8.5,95,192
386,50,3,5,12,113,Florida,"Santa Rosa County, Florida",3.4,10580,14,41,11,8,15,9,1,14,170497,14.3722776,0.11470919,0.011044183,58923,86.9,8.5,31.2,26.6,1380,1031,23.4,23.3,-0.004273504,120,4.5,42.69782609,57.15130941,5.569439587,304,80,6.9,127,144
2107,50,2,3,39,57,Ohio,"Greene County, Ohio",3.6,10043,15,43,11,5,6,11.3,0,14,164765,0.733665594,0.01950969,0.010827542,60113,93.1,9,27.1,37.1,1416,848,20.6,19.4,-0.058252427,119.9,4.3,42.45268362,70.8879717,5.985448846,19,77,7.3,168,115
1183,50,3,7,22,103,Louisiana,"St. Tammany Parish, Louisiana",3.8,12241,10,44,12,6,14,9.1,0,14,253602,9.795642035,0.081144913,0.011876878,62137,87.7,8.8,31.1,30.6,1495,984,24.8,21.7,-0.125,138.6,5,41.5632107,63.14735772,5.076203921,48,82,8.2,203,168
3167,50,2,3,55,139,Wisconsin,"Winnebago County, Wisconsin",3.6,8570,12,49,10,3,8,9.7,0,14,169886,0.110973168,0.016909991,0.010789588,52018,93.4,6.7,25.4,26.6,1266,678,19.8,17.6,-0.111111111,94.8,3.7,41.08846761,76.72271386,6.06984204,131,84,7.6,188,174
2352,50,1,1,44,3,Rhode Island,"Kent County, Rhode Island",3,9336,12,33,12,3,11,7.6,0,18,164614,-0.414874774,-0.008582321,0.009513164,64383,93.7,5.3,25.2,30.9,1786,975,20.3,18,-0.113300493,114.1,4.8,36.04871221,66.03384615,6.895875841,67,92,7.8,158,120
2181,50,3,7,40,27,Oklahoma,"Cleveland County, Oklahoma",3.8,10044,15,51,12,7,8,10,0,14,278655,8.756597148,0.084585654,0.01111769,56452,88.3,8.1,29.8,31,1281,831,23.1,20.7,-0.103896104,122.3,3.9,44.06869633,67.93261131,5.620201344,1,86,7.3,227,327
2296,50,1,2,42,27,Pennsylvania,"Centre County, Pennsylvania",4,9838,14,34,11,6,4,9.9,0,20,161464,5.594070804,0.046401908,0.008268097,52186,93.4,6.5,22.5,41.4,1453,900,18.3,17.4,-0.049180328,98.9,4.2,35.91603579,57.98444444,5.304587361,441,88,7.7,193,91
3006,50,4,9,53,11,Washington,"Clark County, Washington",3.2,7959,14,36,11,5,16,8.6,1,17,467018,9.403635726,0.094193034,0.012200815,60756,89,7.9,32,27.2,1625,990,24.9,22.6,-0.092369478,100.3,6.3,37.38830769,61.36969697,7.63385251,4,96,7.6,319,208
