,SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTY,SCHOOL_GRADE,HEALTHCARE_COST,PERCENT_FOOD_INSECURE,CHILD_MORTALITY_RATE,MENTAL_DISTRESS,CHILDREN_UNINSURED,DISCONNECTED_YOUTH,DAILY_POLLUTION,WATER_VIOLATION,HOUSING_PROBLEMS,POPESTIMATE2016,AVG_NETMIG,POP_CHANGE,BIRTHS_PER_CAPITA,MEDIAN_HOUSEHOLD_INCOME,PERCENT_W_HEALTH_INSURANCE,PERCENTAGE_IN_POVERTY,PERCENT_WITH_KIDS,BACHELORS_DEGREE,MEDIAN_MORTAGE_PAYMENTS,MEDIAN_RENT_PAYMENT,2010_FAM_KIDS,2015_FAM_KIDS,CHANGE_IN_FAM_WITH_KIDS,INCOME_AS_PERCENT_OF_STATE,UNEMPLOYMENT,MORTGAGE_INCOME_RATIO,RENT_INCOME_RATIO,HEALTHCARE_INCOME_RATIO,DOCTORS,EXERCISE_ACCESS,FOOD_ENVIRONMENT_INDEX,CIVIC_ASSOCIATIONS,CRIME_RATE
2908,50,3,5,51,85,Virginia,"Hanover County, Virginia",4,9431,8,38,9,5,6,9.3,1,11,104392,6.192879814,0.04455718,0.0092919,78645,94.1,4,31.4,35.7,1667,1044,29.7,25.4,-0.144781145,123.6,3.5,47.17756449,75.33045977,8.338555202,319,78,9.1,140,121
3109,50,2,3,55,25,Wisconsin,"Dane County, Wisconsin",4,7353,12,38,10,4,5,9.5,1,17,531273,7.53017602,0.08602588,0.011756667,62865,94,6.5,26.6,47.9,1717,923,20.5,18.8,-0.082926829,117.6,2.9,36.61327897,68.10942579,8.549920437,40,95,8,651,231
2297,50,1,2,42,29,Pennsylvania,"Chester County, Pennsylvania",4,9709,9,33,10,6,7,11.4,0,15,516312,2.058493873,0.03270042,0.010722199,85976,92.7,4.4,31.9,49.1,2191,1197,28.3,26,-0.081272085,162.6,3.9,39.24052944,71.82623225,8.855243304,19,87,8.5,503,144
2033,50,2,4,38,17,North Dakota,"Cass County, North Dakota",3.6,8422,10,49,9,6,6,9,1,14,175249,16.02998086,0.166242979,0.015098517,53289,91.6,6.5,27.3,36.8,1400,712,19.6,19.2,-0.020408163,90.7,2.3,38.06357143,74.84410112,6.327710048,2,81,8.6,186,307
861,50,2,4,19,113,Iowa,"Linn County, Iowa",3.6,8419,12,46,10,2,8,9.5,0,10,221661,2.88045457,0.047141467,0.012699573,59322,93.8,6.3,28.9,31.5,1270,695,21.4,20.3,-0.051401869,106,3.7,46.71023622,85.35539568,7.045953939,1,87,7.9,260,214
256,50,4,8,8,13,Colorado,"Boulder County, Colorado",4,8344,13,30,9,5,5,8,0,20,322226,10.01422403,0.088663876,0.009034032,70961,91.3,6.4,27,58.9,1824,1187,21.6,20.4,-0.055555556,113.2,2.7,38.90405702,59.78180286,8.504485286,65,98,7.9,300,210
1300,50,2,3,26,93,Michigan,"Livingston County, Michigan",3.8,9852,9,35,9,3,10,10.2,0,12,188624,4.611373898,0.04196036,0.009532191,75204,93.3,4.1,31.4,33.6,1559,917,29.2,24.5,-0.160958904,150.7,4.2,48.2386145,82.01090513,7.633443667,8,87,8.6,142,101
1246,50,1,1,25,15,Massachusetts,"Hampshire County, Massachusetts",3.6,7992,11,29,12,2,3,8.5,0,17,161816,3.443318914,0.015947161,0.006525931,61368,96.8,6.2,23.5,44.2,1694,965,18.4,16.2,-0.119565217,86.1,3.3,36.22668241,63.59378238,7.678227131,2003,86,8.1,149,249
433,50,3,5,13,73,Georgia,"Columbia County, Georgia",3.8,8760,11,50,10,6,16,10.9,0,11,147450,20.94395104,0.17973213,0.011597152,71021,90,7,36.2,35.3,1375,1094,29.9,27.6,-0.076923077,146.9,4.7,51.65163636,64.91864717,8.107234995,9,71,8.4,100,53
211,50,4,9,6,41,California,"Marin County, California",4,7585,12,28,10,5,11,7.6,0,24,260651,3.586303711,0.030461047,0.008854752,93257,92.5,4.9,28.7,55.8,3273,1678,21.3,21.8,0.023474178,154.9,3.2,28.49282004,55.57628129,12.29492419,6,96,8.3,217,185
